Rank,County-equivalent,State,Per capita income,Median household income,Median family income,Population,Number of households
490,Irion,Texas,28055,50357,58875,1603,654
491,Westmoreland,Pennsylvania,28051,50736,65027,364090,152109
492,Mono,California,28046,61757,72237,14217,5268
493,Tazewell,Illinois,28037,56067,68994,135747,54428
494,Guthrie,Iowa,28030,50609,62036,10843,4641
495,Traverse,Minnesota,28030,45714,62258,3507,1510
496,Baylor,Texas,28021,33445,56656,3678,1798
497,Lac qui Parle,Minnesota,28014,48468,60873,7184,3074
498,Ottawa,Ohio,27979,53202,65311,41372,17614
499,Erie,New York,27978,50653,65897,919230,380152
500,Putnam,West Virginia,27957,54854,65900,56033,21391
501,Sheridan,Wyoming,27948,52008,67673,29376,12381
502,Plymouth,Iowa,27942,58888,73086,24923,9867
503,Perkins,Nebraska,27931,58625,66000,2949,1262
504,Jefferson,Kentucky,27925,46959,61622,746580,305832
505,Lehigh,Pennsylvania,27923,54923,67081,352068,133289
506,Chisago,Minnesota,27914,67157,75513,53691,19569
507,Hettinger,North Dakota,27910,47743,65577,2539,1097
508,Emmet,Iowa,27908,48601,63310,10141,4119
509,Harris,Texas,27899,53137,60594,4182285,1434694
510,Windham,Connecticut,27893,59333,74484,118115,44018
511,Logan,North Dakota,27887,49076,60903,1966,827
512,Lake,Minnesota,27883,46939,61548,10825,4982
513,Clark,South Dakota,27878,49055,65089,3635,1431
514,Cheshire,New Hampshire,27874,55155,70026,76896,30458
515,Knox,Maine,27865,49755,60581,39694,16941
516,Wilson,Tennessee,27864,60390,70024,116948,42800
517,Greene,Georgia,27828,42565,51000,16091,6353
518,Park,Wyoming,27824,53951,64802,28557,11801
519,Summit,Ohio,27818,49669,64157,541592,220375
520,Pembina,North Dakota,27817,49846,62147,7327,3328
521,Scott,Kentucky,27802,61893,71455,48149,17989
522,Clinton,Illinois,27802,61720,76109,37891,14051
523,Archer,Texas,27800,56452,68419,8853,3342
524,Hancock,Maine,27797,47460,60022,54557,24355
525,Kearney,Nebraska,27796,56466,62308,6518,2621
526,Brewster,Texas,27796,40477,55893,9244,4152
527,Sumner,Tennessee,27795,55509,64806,163724,60835
528,Le Sueur,Minnesota,27793,58922,70426,27758,10997
529,Brown,Wisconsin,27787,53119,67159,250597,98962
530,Yellowstone,Montana,27761,51342,65486,150156,61023
531,Spink,South Dakota,27757,48911,61063,6522,2624
532,Los Angeles,California,27749,55909,62237,9893481,3230383
533,Yolo,California,27730,55918,74687,202288,70347
534,Sutton,Texas,27721,53806,60395,4058,1445
535,Douglas,Minnesota,27716,50905,65133,36264,15757
536,Richland,North Dakota,27713,53759,72409,16258,6614
537,Kenton,Kentucky,27704,54270,66229,160828,61800
538,Pike,Pennsylvania,27691,59340,68671,57179,21581
539,Emmons,North Dakota,27690,38477,48816,3521,1634
540,Madison,Iowa,27685,57581,68812,15606,6092
541,Moody,South Dakota,27682,51791,62624,6460,2686
542,Clark,Washington,27681,58225,68276,432549,158855
543,Tulsa,Oklahoma,27676,48181,60745,609610,241915
544,Butler,Nebraska,27673,50247,65225,8334,3482
545,Grand Traverse,Michigan,27660,51766,63616,88182,34655
546,Orange,Virginia,27655,60287,67802,33934,12621
547,Gunnison,Colorado,27654,52332,67047,15421,6293
548,Polk,Nebraska,27639,52848,63664,5342,2232
549,Coffey,Kansas,27627,51793,66026,8516,3501
550,Colonial Heights City,Virginia,27610,50835,66704,17481,7017
551,Marathon,Wisconsin,27607,53363,64950,134497,53079
552,Carbon,Montana,27599,47831,60375,10126,4322
553,Jefferson,Iowa,27593,48814,60989,16800,6919
554,Rio Blanco,Colorado,27586,60128,75978,6770,2638
555,Bryan,Georgia,27556,64707,74513,31410,11230
556,Canadian,Oklahoma,27552,63629,72849,119546,41876
557,Deuel,South Dakota,27525,51632,64432,4362,1789
558,Deschutes,Oregon,27524,50209,61488,160565,64568
,,Wisconsin,27523,52413,66534,5706871,2288332
559,East Baton Rouge,Louisiana,27505,48506,63558,441901,167422
560,Sumter,Florida,27504,48493,58068,98409,43507
561,Mason,Texas,27504,46865,59531,4034,1699
562,Kimble,Texas,27502,43424,53145,4566,1895
563,Lawrence,South Dakota,27498,43273,66387,24305,10597
564,Carteret,North Carolina,27496,46534,57328,67198,29158
565,Wibaux,Montana,27492,41875,67361,928,409
566,Kingsbury,South Dakota,27485,51373,61858,5142,2311
567,Grant,Oklahoma,27469,46625,58478,4522,1951
568,Cass,Missouri,27463,60350,68480,99875,37307
569,Pierce,Wisconsin,27462,59226,74867,40870,15069
570,McPherson,Kansas,27462,54167,68039,29297,11540
571,Ada,Idaho,27452,55210,67641,401673,151600
572,Murray,Minnesota,27450,52160,63545,8639,3820
573,Inyo,California,27441,44796,70185,18482,7873
574,Andrews,Texas,27429,57825,76563,15554,5217
575,Bossier,Louisiana,27429,53248,67961,119947,45776
576,Cuyahoga,Ohio,27423,43804,59745,1272533,534476
577,Tompkins,New York,27418,51393,73828,102270,38409
578,Pulaski,Arkansas,27414,46013,58688,386106,153720
579,Madison,Illinois,27407,53633,67064,268373,107238
580,Franklin,Vermont,27398,56240,68408,48019,18616
581,Atlantic,New Jersey,27391,54235,66619,274960,101091
582,Warren,Indiana,27390,52317,61784,8464,3283
583,Culpeper,Virginia,27379,64423,75328,47330,16039
584,McMullen,Texas,27375,39500,56591,616,254
585,Rogers,Oklahoma,27365,58525,67554,87730,32693
586,Jackson,Minnesota,27361,51681,64625,10263,4469
587,Bartholomew,Indiana,27359,54165,64614,77930,30041
588,Stutsman,North Dakota,27351,50120,65032,21046,8873
589,Lee,Florida,27348,47439,56847,633968,241531
590,Amador,California,27347,53684,68593,37422,14262
591,Dawson,Georgia,27330,53525,60910,22387,8506
592,Butler,Kansas,27329,56454,70484,65786,24270
593,Roger Mills,Oklahoma,27326,53885,61583,3713,1305
594,Eddy,North Dakota,27323,44250,55500,2382,1104
595,Manatee,Florida,27322,47876,58263,329487,131197
596,Rockingham,Virginia,27298,52195,60869,76885,29440
597,Madison,Virginia,27296,53459,60441,13249,5024
598,Cerro Gordo,Iowa,27291,44795,61804,43932,19967
599,Orange,Vermont,27289,52480,63253,28966,11962
600,Adams,Pennsylvania,27284,59492,69551,101496,38141
601,Yankton,South Dakota,27268,52578,67897,22518,8698
602,Charlottesville City,Virginia,27268,44601,65579,43663,17443
603,Steele,Minnesota,27259,56480,71627,36512,14354
604,Maricopa,Arizona,27256,53596,63910,3889161,1411727
605,Wilson,Texas,27238,64571,71234,43753,15157
606,Tioga,New York,27230,55726,66950,50789,20202
607,Hamilton,Tennessee,27229,46702,60329,340973,135496
608,Fredericksburg City,Virginia,27222,47040,57404,25931,9779
609,Deuel,Nebraska,27199,44922,58500,1952,855
610,Griggs,North Dakota,27197,45542,63150,2370,1149
611,Floyd,Indiana,27185,53961,66670,75120,29087
612,Richmond City,Virginia,27184,40496,48681,207878,84833
613,Ellis,Oklahoma,27183,47344,59535,4120,1734
614,Chaffee,Colorado,27182,46504,59631,18063,7832
615,Major,Oklahoma,27168,49905,60313,7604,3084
616,McCone,Montana,27161,46667,59375,1794,760
617,Lamoille,Vermont,27157,52686,64500,24670,10046
618,Decatur,Kansas,27154,39333,44243,2933,1482
619,Passaic,New Jersey,27152,57654,67890,502854,162543
620,Boone,Iowa,27149,51826,67769,26310,10574
621,Hillsborough,Florida,27149,49596,59894,1257913,471340
622,Racine,Wisconsin,27141,54090,66811,195045,75087
623,Lancaster,Nebraska,27141,51574,68714,289873,115237
624,Brown,South Dakota,27138,51398,64824,36982,15590
625,Walworth,Wisconsin,27130,54020,68838,102619,39929
626,Carroll,Illinois,27118,47985,56063,15199,6671
627,Henry,Illinois,27117,52940,64959,50260,20393
628,Mills,Iowa,27101,63076,75167,14983,5375
629,Traill,North Dakota,27098,48767,71359,8125,3306
80%,,,27080,,,,
630,Lebanon,Pennsylvania,27074,54818,64877,134411,52023
631,Putnam,Illinois,27074,54196,68179,5927,2471
632,Skagit,Washington,27065,55925,64951,117641,45293
633,Green,Wisconsin,27060,55584,68493,36901,14640
634,Dearborn,Indiana,27058,56946,70251,49975,18556
635,Washington County,Oklahoma,27053,48687,58761,51329,21332
636,Effingham,Illinois,27051,52108,64204,34274,13544
637,Loudon,Tennessee,27045,51074,60003,49188,19543
638,Oneida,Wisconsin,27041,45759,58214,35868,15797
639,Shelby,Kentucky,27039,57298,70044,42911,15469
640,Buchanan,Iowa,27038,55553,69097,20954,8187
641,Fayette,Texas,27032,48015,60929,24662,9999
642,Fairfield,Ohio,27031,58786,70352,147110,54309
,,Iowa,27027,51843,65802,3062553,1226547
643,Grand Forks,North Dakota,27026,46745,70875,67357,27465
644,Leavenworth,Kansas,27017,63435,77727,77002,26358
645,Lake,South Dakota,27015,48936,66652,11564,4655
646,Brevard,Florida,27009,48039,59810,545667,220277
647,Pennington,South Dakota,27000,50833,64273,102752,40723
648,Greene,Virginia,26998,59358,70074,18577,6897
649,Mariposa,California,26988,49820,62278,18061,7238
650,Young,Texas,26979,44429,58875,18395,7186
651,Thayer,Nebraska,26965,44422,53493,5187,2343
652,Jeff Davis,Texas,26958,49056,60341,2311,989
653,Louisa,Virginia,26956,54518,66882,33384,13046
654,Winnebago,Wisconsin,26955,51010,66466,167860,68140
655,Garfield,Washington,26954,51548,66182,2249,970
656,Aransas,Texas,26953,42476,55880,23627,9834
657,Charlevoix,Michigan,26947,45949,56236,26030,10667
658,Campbell,Kentucky,26945,54306,69837,90606,35203
659,Manassas Park City,Virginia,26944,71227,74552,15125,4435
660,King William,Virginia,26940,62670,68397,15959,5998
661,Fremont,Iowa,26930,50520,61389,7291,2965
,,Kansas,26929,51332,65069,2868107,1110440
662,Kittson,Minnesota,26927,48875,64310,4528,1912
663,Sandoval,New Mexico,26924,58017,65768,133503,47164
664,Calhoun,Illinois,26924,50436,61464,5062,2061
665,Cleveland,Oklahoma,26920,54989,69531,261047,96701
666,Mitchell,Kansas,26911,46667,61486,6368,2804
667,Sussex,Delaware,26908,52710,61308,200632,76444
668,Jefferson,Louisiana,26908,48261,61131,433477,167251
669,Jefferson,Alabama,26906,45429,59095,658552,259634
670,Thomas,Kansas,26903,48187,71777,7902,3120
,,Nebraska,26899,51672,65328,1841625,725787
671,Rankin,Mississippi,26897,57380,67674,143665,53223
672,Rawlins,Kansas,26897,43482,55551,2545,1224
673,Boone,Missouri,26895,48627,70096,165776,65649
674,Lexington,South Carolina,26886,54061,66099,266575,103742
675,Kandiyohi,Minnesota,26880,50149,62904,42265,17120
676,Hays,Texas,26873,58651,75729,164144,56459
677,Santa Rosa,Florida,26861,57703,66006,155579,57368
678,Phelps,Nebraska,26856,50000,65884,9186,3808
679,Stark,Illinois,26843,54203,62993,5942,2416
680,Sheridan,Kansas,26841,48674,57244,2553,1099
681,Brunswick,North Carolina,26839,46438,54220,110324,47600
682,Marshall,Minnesota,26834,52198,65057,9454,4080
683,Carson,Texas,26827,65026,73125,6158,2337
684,McLeod,Minnesota,26824,55170,67968,36321,14716
,,Maine,26824,48453,61107,1328320,553823
685,Armstrong,Texas,26823,61635,76357,1773,647
686,Dallas,Texas,26816,49481,55113,2412481,858332
687,Bernalillo,New Mexico,26814,48801,60740,667092,263135
688,Butler,Ohio,26813,56610,69799,369650,134612
689,Smith,Kansas,26811,45556,51914,3790,1726
,,Oregon,26809,50229,61609,3868721,1516456
690,Niobrara,Wyoming,26797,38438,57024,2495,1045
691,Blanco,Texas,26781,49487,68598,10562,4036
692,Howard,Nebraska,26770,49088,65039,6308,2576
693,Lincoln,Minnesota,26767,47861,63201,5854,2485
694,Baldwin,Alabama,26766,50221,60864,187114,73283
695,Jones,Iowa,26762,55041,64955,20637,8063
696,Coweta,Georgia,26757,60813,70163,129397,46912
697,St. Charles,Louisiana,26756,58758,66392,52627,18547
698,Macomb,Michigan,26748,53451,66612,845197,332818
699,Humboldt,Iowa,26746,47897,62143,9776,4222
700,Sacramento,California,26739,55064,64154,1435207,517243
701,Benton,Oregon,26738,48604,75012,85989,33384
702,Glynn,Georgia,26724,46407,56221,80280,31547
703,Berks,Pennsylvania,26723,55170,67138,412078,153897
704,Licking,Ohio,26716,55114,67072,167065,64009
705,Hamilton,Nebraska,26715,56065,61786,9090,3488
706,Benton,Arkansas,26715,54515,61706,227439,82150
707,Garden,Nebraska,26715,39400,52083,1966,836
708,Bureau,Illinois,26705,48977,60525,34594,13998
709,DeWitt,Illinois,26704,51051,64446,16511,6802
710,Mesa,Colorado,26700,49471,60534,147432,58598
711,Pickens,Georgia,26686,51383,59623,29486,11083
712,Nicollet,Minnesota,26674,60115,71741,32849,12192
713,Spencer,Kentucky,26666,65209,69980,17303,6230
714,Grant,Minnesota,26665,50030,61455,5990,2580
715,Salem City,Virginia,26661,48733,60742,24950,9908
716,Kauai,Hawaii,26658,62052,73205,67872,22390
717,Greenville,South Carolina,26643,49022,61768,459857,175149
718,Ogle,Illinois,26635,54541,69172,53092,20745
719,Reagan,Texas,26633,61250,65600,3441,1178
720,Iowa County,Wisconsin,26625,55659,70079,23709,9610
721,Benton,Iowa,26624,56669,69676,25971,10079
722,Mercer,Illinois,26620,53136,63831,16325,6716
723,Ottawa,Kansas,26614,58396,66085,6078,2408
724,Garfield,Colorado,26603,57022,66941,56687,20163
725,Jerauld,South Dakota,26590,46591,54300,2055,882
,,Nevada,26589,52800,61359,2730066,999016
726,Schoharie,New York,26584,53245,65610,32404,12820
727,Eaton,Michigan,26582,54115,65740,107920,43362
728,Essex,New York,26582,47380,60935,39181,15919
729,Clay,Florida,26577,59482,68078,192665,67805
730,Brown,Minnesota,26576,48256,65804,25643,10820
731,Cedar,Iowa,26567,58088,66176,18452,7665
732,Oklahoma County,Oklahoma,26561,45215,58240,732118,285320
733,York,South Carolina,26553,53740,66256,230934,86483
734,Hot Springs,Wyoming,26544,42019,56344,4825,2238
735,Forsyth,North Carolina,26541,45724,59764,354656,140439
736,Aleutians East,Alaska,26535,61250,67750,3141,435
737,Washington County,Maryland,26532,55609,66435,148435,55960
738,Whatcom,Washington,26530,51939,68159,203211,79314
739,Crow Wing,Minnesota,26527,47058,57958,62742,26963
740,Panola,Texas,26525,52453,61317,23877,8873
741,Humboldt,Nevada,26515,59472,74433,16800,6314
742,Kenosha,Wisconsin,26514,54930,68255,166874,62560
743,McCook,South Dakota,26505,52703,66106,5605,2186
744,Orleans,Louisiana,26500,37146,46512,357013,148398
745,Lancaster,Pennsylvania,26496,56483,67646,523306,194082
746,Queens,New York,26495,57001,64371,2256400,778630
747,Martin,Minnesota,26472,48530,61233,20634,8797
748,Iredell,North Carolina,26467,50329,60413,161297,59468
749,Guilford,North Carolina,26461,45431,58551,495326,196463
750,Washington County,Iowa,26459,54554,66967,21834,8948
751,Rock Island,Illinois,26455,48702,62123,147477,60456
752,Houston,Minnesota,26450,52545,65646,18915,7809
753,Coke,Texas,26407,40795,60684,3271,1436
754,Otter Tail,Minnesota,26400,48961,61645,57369,24356
755,Dorchester,Maryland,26388,46361,57893,32617,13386
756,Shelby,Iowa,26387,48783,62273,12088,5083
757,Minnehaha,South Dakota,26380,52345,66555,173108,67623
758,Highland County,Virginia,26372,49625,56625,2276,1006
759,Grant,Kansas,26370,53213,59306,7869,2793
760,Fond du Lac,Wisconsin,26368,53820,65103,101666,41267
761,Lee,Georgia,26357,60104,67319,28631,9773
762,Sac,Iowa,26350,48093,61942,10227,4435
763,Lamar,Mississippi,26345,51154,62945,56763,21678
764,Douglas,Kansas,26342,49508,70955,112210,43398
765,Platte,Wyoming,26335,45512,62596,8701,3642
766,Kerr,Texas,26334,43601,55152,49696,20357
767,Cherokee,Iowa,26330,48977,61634,12013,5354
768,Wood,Ohio,26326,52069,69704,127325,49086
769,Washington County,Illinois,26325,52832,64959,14626,5882
770,Putnam,Georgia,26321,44764,51380,21241,8457
771,Davie,North Carolina,26319,50139,58530,41339,16234
772,Osborne,Kansas,26313,37925,49073,3846,1727
773,Providence,Rhode Island,26308,49297,62348,627469,237800
774,Charlotte,Florida,26286,44378,53586,161276,70545
775,Jefferson,Kansas,26280,56875,67439,18971,7421
776,Granite,Montana,26277,45236,57891,3105,1473
777,Morgan,Utah,26274,80337,87922,9692,2860
778,Scott,Kansas,26274,50605,55938,4930,2121
779,Columbia,Oregon,26271,54968,63435,49333,19069
780,La Crosse,Wisconsin,26271,51339,69606,115420,45949
781,Berkeley,West Virginia,26264,53515,61575,105812,40447
782,Carson City,Nevada,26264,51957,63883,54821,21186
783,Delaware County,Iowa,26261,54076,68096,17665,7129
784,Beaver,Pennsylvania,26258,49217,62792,170382,70867
785,Dubuque,Iowa,26254,51475,66046,94411,37366
786,Vilas,Wisconsin,26252,40833,50051,21401,10636
787,Franklin,Kentucky,26243,46071,58556,49390,21058
,,Florida,26236,46956,56738,19091156,7158980
788,St. Clair,Illinois,26234,50578,63373,268939,102885
789,Gove,Kansas,26233,44866,51939,2835,1201
790,Macon,Illinois,26232,46559,59733,110262,45142
791,Barber,Kansas,26229,45920,56048,4898,2187
792,Linn,Kansas,26224,45519,52761,9580,4234
793,Clark,Nevada,26217,52873,60666,1976925,710058
794,Pratt,Kansas,26209,46035,60000,9730,4074
795,Rutland,Vermont,26205,49271,61516,61270,25754
796,Greene,Iowa,26205,45865,57150,9255,3969
797,Charles City County,Virginia,26198,48428,58893,7205,2850
798,Leon,Florida,26196,46369,68516,278624,110377
799,Hyde,South Dakota,26195,47813,67292,1387,549
800,Lincoln,Nebraska,26188,48158,62464,36128,15067
801,Worth,Iowa,26187,50476,60159,7562,3197
802,Guadalupe,Texas,26184,61958,71325,135940,46409
803,Harrison,Iowa,26184,54583,67468,14729,5996
804,Potter,South Dakota,26180,44556,53750,2323,1051
805,Cole,Missouri,26160,53931,66712,76228,29302
806,Buncombe,North Carolina,26159,44713,56616,241801,100838
807,Duval,Florida,26143,48323,59238,872598,330897
808,Hancock,Ohio,26139,49589,64032,75239,30610
809,Ransom,North Dakota,26137,49788,66076,5472,2283
810,Erie,Ohio,26135,46498,60856,76634,31972
811,Ohio County,West Virginia,26135,41025,57865,44156,18553
812,Sheboygan,Wisconsin,26126,52920,65968,115235,46312
813,Dawson,Montana,26126,50405,63551,9132,3885
814,Golden Valley,North Dakota,26113,36100,64821,1698,754
815,Hutchinson,South Dakota,26110,42451,59403,7239,2937
816,Beaver,Oklahoma,26109,51422,60483,5605,2108
817,Salt Lake,Utah,26103,60555,70215,1048314,344089
818,Franklin,Iowa,26102,48355,54625,10623,4358
819,Franklin,Nebraska,26095,43011,56875,3181,1398
820,Stearns,Minnesota,26065,54551,69196,151053,56737
821,Renville,Minnesota,26062,50802,58599,15499,6400
822,Jackson,Missouri,26062,47015,60580,675641,271545
823,Winchester City,Virginia,26060,44200,56967,26587,10393
824,Nelson,Virginia,26059,48789,59191,14940,6404
825,Shawnee,Kansas,26057,48451,63230,178378,72584
826,Perry,Pennsylvania,26048,57375,66005,45808,18173
,,Ohio,26046,48308,61371,11549590,4557655
827,Koochiching,Minnesota,26045,41108,56065,13251,6134
828,Davis,Utah,26035,69707,76888,311886,95238
829,Lorain,Ohio,26030,51816,63212,301720,116705
830,Lyon,Minnesota,26028,49594,70016,25703,10083
831,Hand,South Dakota,26027,47679,59671,3433,1429
832,Woods,Oklahoma,26022,51619,65064,8849,3439
,,Texas,26019,51900,61066,25639373,8886471
833,Big Stone,Minnesota,26019,46313,56012,5209,2347
834,Chippewa,Minnesota,25993,49434,64608,12272,5093
835,Niagara,New York,25991,47955,63523,215465,88376
836,Sauk,Wisconsin,25988,52140,65561,62353,25206
837,Story,Iowa,25986,50516,76860,90750,35196
838,Marshall,Illinois,25975,51504,62827,12454,5021
839,Clinton,Iowa,25966,49559,63452,48896,20008
840,Saline,Arkansas,25962,55348,66936,109844,41287
841,Wood,Wisconsin,25961,47685,60258,74469,32037
842,McCracken,Kentucky,25957,44898,57709,65610,27037
843,Waupaca,Wisconsin,25956,50822,61581,52300,21388
844,Carbon,Wyoming,25947,55347,65402,15809,6077
845,St. Louis County,Minnesota,25946,46517,63168,200327,85238
846,Tuolumne,California,25943,48426,59152,54728,22025
847,Oconto,Wisconsin,25941,51615,62599,37531,15701
848,Monroe,Michigan,25939,53972,65363,151408,58702
849,Jackson,Colorado,25936,43606,60714,1371,648
850,Morgan,Georgia,25933,47729,55030,17870,6513
851,Gwinnett,Georgia,25932,60445,66432,825911,266952
852,Garfield,Montana,25921,45096,59423,1145,465
853,Walworth,South Dakota,25915,41826,59449,5477,2342
854,San Benito,California,25914,66237,71425,56115,16995
855,Henderson,Illinois,25902,49389,60066,7186,3202
856,Wheeler,Nebraska,25898,38807,53015,869,379
857,Chelan,Washington,25893,51354,61230,73047,27220
858,Kent,Michigan,25889,51667,63176,609544,229373
859,Boone,Illinois,25888,60893,67049,54068,17938
860,Austin,Texas,25884,53265,64760,28573,10615
861,Ida,Iowa,25869,43449,58470,7099,3182
862,Clay,Texas,25867,53776,66788,10651,4216
863,Clallam,Washington,25865,46033,59169,71731,30814
864,Otoe,Nebraska,25855,50881,63841,15727,6438
865,Currituck,North Carolina,25854,57159,66626,23880,9121
866,Pottawattamie,Iowa,25847,51304,63669,92962,36460
867,Monongalia,West Virginia,25846,44173,68101,98483,36449
868,Walton,Florida,25845,43640,56484,56590,22639
869,Lincoln,Wyoming,25834,64205,71523,18100,6245
870,Brown,Indiana,25833,51568,59221,15128,5889
871,Wright,Iowa,25827,45205,59070,13092,5367
872,Manitowoc,Wisconsin,25825,48881,63889,81098,34067
873,Sanborn,South Dakota,25823,48384,62583,2348,1051
874,Hampden,Massachusetts,25817,49094,61474,465144,177990
875,Lincoln,Washington,25816,47195,60478,10481,4457
876,Hancock,Iowa,25814,50105,60921,11243,4648
877,Banner,Nebraska,25814,36875,51750,816,330
878,Barton,Kansas,25800,44981,56250,27602,11491
879,Polk,Minnesota,25790,50695,64911,31522,12663
880,Flathead,Montana,25790,46581,56284,91536,36901
881,Sibley,Minnesota,25789,54017,64750,15146,6090
882,Valley,Idaho,25785,50473,60100,9698,3519
883,Morgan,Indiana,25781,55354,63148,69217,25621
884,Wasatch,Utah,25777,65050,70303,24542,7602
885,Edmunds,South Dakota,25775,49831,65179,4051,1589
886,Kingfisher,Oklahoma,25773,54666,61528,15069,5733
887,Kennebec,Maine,25770,46808,59915,121757,51719
888,Calhoun,Iowa,25766,44484,55234,9952,4356
889,Missoula,Montana,25764,46117,62988,110243,45523
890,Richland,South Carolina,25763,48359,62935,389708,143874
891,Custer,Colorado,25761,32427,50000,4245,2048
892,Kalamazoo,Michigan,25757,45775,62159,252763,100072
893,Haakon,South Dakota,25754,47198,64120,1944,807
894,Polk,Wisconsin,25751,48538,58842,43905,18266
895,Perkins,South Dakota,25751,38362,56429,2943,1364
896,Swift,Minnesota,25750,48026,64250,9678,4315
897,Plaquemines,Louisiana,25748,55138,66800,23385,8615
898,Franklin,Pennsylvania,25741,52637,63117,150594,58273
,,South Dakota,25740,49495,63195,825198,323136
899,Cedar,Nebraska,25738,48038,58542,8790,3529
900,Waseca,Minnesota,25723,53657,66173,19046,7328
901,Caroline,Virginia,25718,57218,64258,28757,10680
902,Champaign,Illinois,25713,45808,69554,202428,79137
903,LaSalle,Illinois,25709,52640,64693,113295,44257
904,Greene,New York,25700,49655,60571,48928,18365
905,Harding,New Mexico,25686,34063,49167,687,261
906,Valley,Montana,25685,47181,58668,7465,3248
,,Michigan,25681,48411,60793,9886095,3823280
907,Clatsop,Oregon,25680,44683,54849,37157,15749
908,Henderson,North Carolina,25670,44815,57062,107583,45246
909,Freeborn,Minnesota,25668,44683,58220,31129,13230
910,Meeker,Minnesota,25665,53904,63881,23197,9288
911,Wise,Texas,25663,56005,63661,59894,20487
912,Ellis,Texas,25662,61952,69685,152020,51016
913,Spokane,Washington,25661,49233,62589,473832,187572
914,Roseau,Minnesota,25650,50759,59226,15587,6402
915,Redwood,Minnesota,25649,47447,60685,15942,6507
,,Missouri,25649,47380,59527,6007182,2360131
916,Rockbridge,Virginia,25638,48313,59165,22345,9234
917,Jessamine,Kentucky,25637,49024,58733,49112,18012
918,Watonwan,Minnesota,25635,49698,61064,11173,4445
919,Smith,Texas,25626,47432,60259,212227,78459
920,Jefferson,Wisconsin,25625,53454,67058,83985,32137
921,Camden,North Carolina,25620,56607,70025,10037,3580
922,Logan,Oklahoma,25620,53591,66917,42871,14927
923,Sedgwick,Kansas,25603,49865,63042,500768,192651
924,Newton,Indiana,25594,50262,57870,14151,5374
925,Lackawanna,Pennsylvania,25594,46044,59573,214275,85769
926,Boone,Nebraska,25590,45246,59278,5441,2242
927,Dubois,Indiana,25589,54780,66988,42103,15890
928,Codington,South Dakota,25582,47214,63037,27439,11566
929,Adams,Nebraska,25571,49440,65286,31367,12578
930,Adair,Iowa,25564,47892,60232,7588,3295
931,Hardin,Texas,25559,53013,64383,54945,20633
932,Pocahontas,Iowa,25556,44073,56607,7243,3227
933,Lincoln,North Carolina,25550,48940,60059,78761,29994
934,Shelby,Tennessee,25549,46250,57213,932919,343517
935,Centre,Pennsylvania,25545,50336,70654,154460,57197
936,Gray,Kansas,25537,57808,63875,6012,2066
937,Republic,Kansas,25531,39572,52944,4919,2274
938,Alpine,California,25527,58636,76645,1165,394
939,Trigg,Kentucky,25527,45629,53893,14289,5935
940,Liberty,Montana,25522,44493,58438,2357,847
941,Augusta,Virginia,25519,52027,60614,73726,27999
942,Uinta,Wyoming,25513,58515,73060,21040,7290
943,Monroe,Pennsylvania,25494,57408,65433,168947,58875
70%,,,25490,,,,
944,Isanti,Minnesota,25482,57353,68053,38078,13860
945,Putnam,Ohio,25481,61192,72075,34339,13022
946,Marion,Iowa,25477,54723,69241,33318,12691
947,Weld,Colorado,25468,57180,66840,258780,90465
948,Jersey,Illinois,25467,53954,63789,22850,8752
949,Fillmore,Nebraska,25460,48464,60897,5818,2444
950,Becker,Minnesota,25455,50214,59844,32800,13476
951,Lincoln,New Mexico,25449,43014,49213,20359,8685
952,Ford,Illinois,25448,48866,60799,13991,5651
953,Cass,Iowa,25448,43481,52403,13793,6081
954,Ohio County,Indiana,25443,50377,59539,6075,2422
955,Shackelford,Texas,25436,47277,56875,3362,1445
956,Carroll,Iowa,25430,48361,64495,20732,8626
957,Wallace,Kansas,25429,47454,59038,1568,611
958,McIntosh,North Dakota,25427,36066,50887,2791,1308
959,Pawnee,Nebraska,25426,37321,49191,2759,1314
960,Lee,Illinois,25409,50060,62194,35535,13504
961,Turner,South Dakota,25406,51925,62026,8344,3461
962,Genesee,New York,25403,49922,62864,59872,23884
963,Clark,Kansas,25385,41129,52083,2188,932
964,Blue Earth,Minnesota,25380,49935,68864,64504,24476
965,Wicomico,Maryland,25378,51092,59379,99683,36405
966,Bayfield,Wisconsin,25377,44944,55654,15071,6964
967,Meade,South Dakota,25375,49324,58193,25914,10083
968,White,Illinois,25375,42914,56110,14630,6240
,,Montana,25373,46230,59743,998554,405525
969,Ottawa,Michigan,25371,56453,67166,267017,94666
970,Steuben,New York,25371,47476,56903,98951,41503
971,Rice,Minnesota,25370,59915,72133,64585,22299
972,Miami,Ohio,25369,52040,61644,102867,41239
973,Decatur,Tennessee,25368,36258,46973,11695,5066
974,Bandera,Texas,25364,49215,63387,20533,8405
,,Arizona,25358,49774,58897,6479703,2370289
975,Washington County,Tennessee,25355,42075,52949,123891,51771
976,McPherson,Nebraska,25339,54926,57981,382,169
977,Portage,Ohio,25332,52697,66446,163387,60992
978,Chemung,New York,25329,48804,60715,88876,35622
979,Logan,Kansas,25328,41765,59412,2775,1282
980,Wayne,New York,25327,52601,62677,93224,36399
981,Auglaize,Ohio,25323,52239,62940,45906,18241
982,Harlan,Nebraska,25322,45920,55400,3445,1573
983,Gilliam,Oregon,25320,44743,56667,1915,883
984,Poweshiek,Iowa,25318,50349,66827,18804,7488
